currencyinfo,timeinfo,insertime
US Dollar1 USD = 68.7540 INR,2018-07-02 17:25 UTC,2018-07-02 22:55:55
US Dollar1 USD = 68.7392 INR,2018-07-02 17:35 UTC,2018-07-02 23:06:08
US Dollar1 USD = 68.7305 INR,2018-07-02 17:46 UTC,2018-07-02 23:16:11
US Dollar1 USD = 68.7320 INR,2018-07-02 17:56 UTC,2018-07-02 23:26:14
US Dollar1 USD = 68.7334 INR,2018-07-02 18:06 UTC,2018-07-02 23:36:16
US Dollar1 USD = 68.7265 INR,2018-07-02 18:16 UTC,2018-07-02 23:46:19
US Dollar1 USD = 68.7290 INR,2018-07-02 18:26 UTC,2018-07-02 23:56:21
US Dollar1 USD = 68.7287 INR,2018-07-02 18:36 UTC,2018-07-03 00:06:24
US Dollar1 USD = 68.7270 INR,2018-07-02 18:46 UTC,2018-07-03 00:16:26
US Dollar1 USD = 68.7304 INR,2018-07-02 18:56 UTC,2018-07-03 00:26:28
US Dollar1 USD = 68.7337 INR,2018-07-02 19:06 UTC,2018-07-03 00:36:30
US Dollar1 USD = 68.7307 INR,2018-07-02 19:16 UTC,2018-07-03 00:46:33
US Dollar1 USD = 68.7218 INR,2018-07-02 19:26 UTC,2018-07-03 00:56:35
US Dollar1 USD = 68.7180 INR,2018-07-02 19:36 UTC,2018-07-03 01:06:37
US Dollar1 USD = 68.7282 INR,2018-07-02 19:46 UTC,2018-07-03 01:16:39
US Dollar1 USD = 68.7206 INR,2018-07-02 19:56 UTC,2018-07-03 01:26:42
US Dollar1 USD = 68.7133 INR,2018-07-02 20:06 UTC,2018-07-03 01:36:44
US Dollar1 USD = 68.7199 INR,2018-07-02 20:16 UTC,2018-07-03 01:46:46
US Dollar1 USD = 68.7068 INR,2018-07-02 20:26 UTC,2018-07-03 01:56:48
US Dollar1 USD = 68.7151 INR,2018-07-02 20:36 UTC,2018-07-03 02:06:50
US Dollar1 USD = 68.7105 INR,2018-07-02 20:46 UTC,2018-07-03 02:16:52
US Dollar1 USD = 68.7129 INR,2018-07-02 20:56 UTC,2018-07-03 02:26:54
US Dollar1 USD = 68.7124 INR,2018-07-02 21:06 UTC,2018-07-03 02:36:57
US Dollar1 USD = 68.7126 INR,2018-07-02 21:16 UTC,2018-07-03 02:46:59
US Dollar1 USD = 68.7125 INR,2018-07-02 21:26 UTC,2018-07-03 02:57:01
US Dollar1 USD = 68.7264 INR,2018-07-02 21:37 UTC,2018-07-03 03:07:03
US Dollar1 USD = 68.7182 INR,2018-07-02 21:47 UTC,2018-07-03 03:17:05
US Dollar1 USD = 68.7149 INR,2018-07-02 21:57 UTC,2018-07-03 03:27:08
US Dollar1 USD = 68.7518 INR,2018-07-02 22:07 UTC,2018-07-03 03:37:10
US Dollar1 USD = 68.7391 INR,2018-07-02 22:17 UTC,2018-07-03 03:47:14
US Dollar1 USD = 68.7228 INR,2018-07-02 22:27 UTC,2018-07-03 03:57:16
US Dollar1 USD = 68.7258 INR,2018-07-02 22:37 UTC,2018-07-03 04:07:18
US Dollar1 USD = 68.7246 INR,2018-07-02 22:47 UTC,2018-07-03 04:17:20
US Dollar1 USD = 68.7160 INR,2018-07-02 22:57 UTC,2018-07-03 04:27:22
US Dollar1 USD = 68.7116 INR,2018-07-02 23:07 UTC,2018-07-03 04:37:24
US Dollar1 USD = 68.7147 INR,2018-07-02 23:17 UTC,2018-07-03 04:47:28
US Dollar1 USD = 68.7126 INR,2018-07-02 23:27 UTC,2018-07-03 04:57:30
US Dollar1 USD = 68.7113 INR,2018-07-02 23:37 UTC,2018-07-03 05:07:33
US Dollar1 USD = 68.7060 INR,2018-07-02 23:47 UTC,2018-07-03 05:17:35
US Dollar1 USD = 68.7096 INR,2018-07-02 23:57 UTC,2018-07-03 05:27:38
US Dollar1 USD = 68.7168 INR,2018-07-03 00:07 UTC,2018-07-03 05:37:40
US Dollar1 USD = 68.7168 INR,2018-07-03 00:17 UTC,2018-07-03 05:47:43
US Dollar1 USD = 68.7183 INR,2018-07-03 00:27 UTC,2018-07-03 05:57:45
US Dollar1 USD = 68.7179 INR,2018-07-03 00:37 UTC,2018-07-03 06:07:47
US Dollar1 USD = 68.7086 INR,2018-07-03 00:47 UTC,2018-07-03 06:17:49
US Dollar1 USD = 68.7027 INR,2018-07-03 00:57 UTC,2018-07-03 06:27:51
US Dollar1 USD = 68.7193 INR,2018-07-03 01:07 UTC,2018-07-03 06:37:53
US Dollar1 USD = 68.7327 INR,2018-07-03 01:17 UTC,2018-07-03 06:47:56
US Dollar1 USD = 68.7538 INR,2018-07-03 01:27 UTC,2018-07-03 06:57:58
US Dollar1 USD = 68.8707 INR,2018-07-03 01:37 UTC,2018-07-03 07:08:00
US Dollar1 USD = 68.8845 INR,2018-07-03 01:47 UTC,2018-07-03 07:18:02
US Dollar1 USD = 68.8368 INR,2018-07-03 01:58 UTC,2018-07-03 07:28:04
US Dollar1 USD = 68.8495 INR,2018-07-03 02:08 UTC,2018-07-03 07:38:06
US Dollar1 USD = 68.8697 INR,2018-07-03 02:18 UTC,2018-07-03 07:48:08
US Dollar1 USD = 68.7967 INR,2018-07-03 02:28 UTC,2018-07-03 07:58:10
US Dollar1 USD = 68.8042 INR,2018-07-03 02:38 UTC,2018-07-03 08:08:12
US Dollar1 USD = 68.8118 INR,2018-07-03 02:48 UTC,2018-07-03 08:18:14
US Dollar1 USD = 68.8255 INR,2018-07-03 02:58 UTC,2018-07-03 08:28:16
US Dollar1 USD = 68.8638 INR,2018-07-03 03:08 UTC,2018-07-03 08:38:19
US Dollar1 USD = 68.8727 INR,2018-07-03 03:18 UTC,2018-07-03 08:48:21
US Dollar1 USD = 68.8671 INR,2018-07-03 03:28 UTC,2018-07-03 08:58:23
US Dollar1 USD = 68.9422 INR,2018-07-03 03:38 UTC,2018-07-03 09:08:25
US Dollar1 USD = 68.9163 INR,2018-07-03 03:48 UTC,2018-07-03 09:18:27
US Dollar1 USD = 68.9144 INR,2018-07-03 03:58 UTC,2018-07-03 09:28:29
US Dollar1 USD = 68.9341 INR,2018-07-03 04:08 UTC,2018-07-03 09:38:32
US Dollar1 USD = 68.9369 INR,2018-07-03 04:18 UTC,2018-07-03 09:48:35
US Dollar1 USD = 68.9357 INR,2018-07-03 04:28 UTC,2018-07-03 09:58:37
US Dollar1 USD = 68.9377 INR,2018-07-03 04:38 UTC,2018-07-03 10:08:39
US Dollar1 USD = 68.9397 INR,2018-07-03 04:48 UTC,2018-07-03 10:18:41
US Dollar1 USD = 68.9423 INR,2018-07-03 04:58 UTC,2018-07-03 10:28:43
US Dollar1 USD = 68.9205 INR,2018-07-03 05:08 UTC,2018-07-03 10:38:45
US Dollar1 USD = 68.9186 INR,2018-07-03 05:18 UTC,2018-07-03 10:48:47
US Dollar1 USD = 68.9270 INR,2018-07-03 05:28 UTC,2018-07-03 10:58:49
US Dollar1 USD = 68.8925 INR,2018-07-03 05:37 UTC,2018-07-03 11:08:51
US Dollar1 USD = 68.8415 INR,2018-07-03 05:47 UTC,2018-07-03 11:18:53
US Dollar1 USD = 68.7827 INR,2018-07-03 06:07 UTC,2018-07-03 11:37:56
US Dollar1 USD = 68.6672 INR,2018-07-03 06:17 UTC,2018-07-03 11:47:58
US Dollar1 USD = 68.6981 INR,2018-07-03 06:27 UTC,2018-07-03 11:58:00
US Dollar1 USD = 68.6741 INR,2018-07-03 06:37 UTC,2018-07-03 12:08:00
US Dollar1 USD = 68.6808 INR,2018-07-03 06:47 UTC,2018-07-03 12:18:02
US Dollar1 USD = 68.6533 INR,2018-07-03 06:58 UTC,2018-07-03 12:28:04
US Dollar1 USD = 68.6357 INR,2018-07-03 07:07 UTC,2018-07-03 12:38:06
US Dollar1 USD = 68.6320 INR,2018-07-03 07:18 UTC,2018-07-03 12:48:08
US Dollar1 USD = 68.6656 INR,2018-07-03 07:28 UTC,2018-07-03 12:58:10
US Dollar1 USD = 68.6580 INR,2018-07-03 07:38 UTC,2018-07-03 13:08:12
US Dollar1 USD = 68.6364 INR,2018-07-03 07:48 UTC,2018-07-03 13:18:14
US Dollar1 USD = 68.6565 INR,2018-07-03 07:58 UTC,2018-07-03 13:28:16
US Dollar1 USD = 68.5971 INR,2018-07-03 08:08 UTC,2018-07-03 13:38:17
US Dollar1 USD = 68.6346 INR,2018-07-03 08:17 UTC,2018-07-03 13:48:20
US Dollar1 USD = 68.6370 INR,2018-07-03 08:28 UTC,2018-07-03 13:58:21
US Dollar1 USD = 68.6519 INR,2018-07-03 08:38 UTC,2018-07-03 14:08:23
US Dollar1 USD = 68.6195 INR,2018-07-03 08:48 UTC,2018-07-03 14:18:25
US Dollar1 USD = 68.6248 INR,2018-07-03 08:58 UTC,2018-07-03 14:28:27
US Dollar1 USD = 68.6434 INR,2018-07-03 09:08 UTC,2018-07-03 14:38:29
US Dollar1 USD = 68.6248 INR,2018-07-03 09:18 UTC,2018-07-03 14:48:31
US Dollar1 USD = 68.6128 INR,2018-07-03 09:27 UTC,2018-07-03 14:58:33
US Dollar1 USD = 68.6287 INR,2018-07-03 09:38 UTC,2018-07-03 15:08:35
US Dollar1 USD = 68.6409 INR,2018-07-03 09:48 UTC,2018-07-03 15:18:37
US Dollar1 USD = 68.6282 INR,2018-07-03 09:58 UTC,2018-07-03 15:28:41
US Dollar1 USD = 68.6329 INR,2018-07-03 10:08 UTC,2018-07-03 15:38:43
US Dollar1 USD = 68.6521 INR,2018-07-03 10:18 UTC,2018-07-03 15:48:45
US Dollar1 USD = 68.6562 INR,2018-07-03 10:27 UTC,2018-07-03 15:58:46
US Dollar1 USD = 68.6576 INR,2018-07-03 10:37 UTC,2018-07-03 16:08:49
US Dollar1 USD = 68.5990 INR,2018-07-03 11:05 UTC,2018-07-03 16:35:50
US Dollar1 USD = 68.5939 INR,2018-07-03 11:14 UTC,2018-07-03 16:45:52
US Dollar1 USD = 68.5819 INR,2018-07-03 11:25 UTC,2018-07-03 16:55:54
US Dollar1 USD = 68.5755 INR,2018-07-03 11:35 UTC,2018-07-03 17:05:56
US Dollar1 USD = 68.5575 INR,2018-07-03 11:45 UTC,2018-07-03 17:15:58